store_location,item_id,size,color,system_count,last_updated
Madison Ave,SKU-004,32,Raw Denim,3,2026-06-29
Madison Ave,SKU-004,32,Vintage Blue,7,2026-07-06
Madison Ave,SKU-004,33,Indigo,5,2026-06-30
Madison Ave,SKU-004,33,Black,5,2026-07-05
Madison Ave,SKU-004,33,White,0,2026-06-28
Madison Ave,SKU-004,33,Stone Wash,5,2026-06-29
Madison Ave,SKU-004,33,Raw Denim,0,2026-07-04
Madison Ave,SKU-004,33,Vintage Blue,0,2026-06-24
Madison Ave,SKU-004,34,Indigo,7,2026-06-27
Madison Ave,SKU-004,34,Black,5,2026-06-29
Madison Ave,SKU-004,34,White,7,2026-07-03
Madison Ave,SKU-004,34,Stone Wash,0,2026-06-26
Madison Ave,SKU-004,34,Raw Denim,3,2026-07-03
Madison Ave,SKU-004,34,Vintage Blue,3,2026-06-26
Madison Ave,SKU-005,24,Indigo,2,2026-07-03
Madison Ave,SKU-005,24,Black,6,2026-06-25
Madison Ave,SKU-005,24,White,4,2026-07-05
Madison Ave,SKU-005,24,Stone Wash,5,2026-07-06
Madison Ave,SKU-005,24,Raw Denim,2,2026-07-06
Madison Ave,SKU-005,24,Vintage Blue,4,2026-06-24
Madison Ave,SKU-005,25,Indigo,9,2026-07-06
Madison Ave,SKU-005,25,Black,4,2026-07-05
Madison Ave,SKU-005,25,White,5,2026-07-03
Madison Ave,SKU-005,25,Stone Wash,3,2026-07-05
Madison Ave,SKU-005,25,Raw Denim,3,2026-06-25
Madison Ave,SKU-005,25,Vintage Blue,6,2026-06-29
Madison Ave,SKU-005,26,Indigo,2,2026-06-25
Madison Ave,SKU-005,26,Black,2,2026-06-29
Madison Ave,SKU-005,26,White,4,2026-06-26
Madison Ave,SKU-005,26,Stone Wash,0,2026-06-26
Madison Ave,SKU-005,26,Raw Denim,5,2026-07-01
Madison Ave,SKU-005,26,Vintage Blue,5,2026-06-30
Madison Ave,SKU-005,27,Indigo,3,2026-06-29
Madison Ave,SKU-005,27,Black,0,2026-07-04
Madison Ave,SKU-005,27,White,1,2026-06-24
Madison Ave,SKU-005,27,Stone Wash,0,2026-06-24
Madison Ave,SKU-005,27,Raw Denim,6,2026-06-24
Madison Ave,SKU-005,27,Vintage Blue,5,2026-06-27
Madison Ave,SKU-005,28,Indigo,6,2026-06-27
Madison Ave,SKU-005,28,Black,1,2026-06-28
Madison Ave,SKU-005,28,White,0,2026-06-23
Madison Ave,SKU-005,28,Stone Wash,3,2026-06-23
Madison Ave,SKU-005,28,Raw Denim,0,2026-06-25
Madison Ave,SKU-005,28,Vintage Blue,4,2026-06-29
Madison Ave,SKU-005,29,Indigo,8,2026-07-03
Madison Ave,SKU-005,29,Black,0,2026-06-28
Madison Ave,SKU-005,29,White,0,2026-07-04
Madison Ave,SKU-005,29,Stone Wash,4,2026-06-24
Madison Ave,SKU-005,29,Raw Denim,4,2026-06-28
Madison Ave,SKU-005,29,Vintage Blue,7,2026-06-27
Madison Ave,SKU-005,30,Indigo,4,2026-06-26
Madison Ave,SKU-005,30,Black,6,2026-06-24
Madison Ave,SKU-005,30,White,4,2026-06-29
Madison Ave,SKU-005,30,Stone Wash,5,2026-07-03
Madison Ave,SKU-005,30,Raw Denim,6,2026-06-27
Madison Ave,SKU-005,30,Vintage Blue,4,2026-07-02
Madison Ave,SKU-005,31,Indigo,1,2026-06-30
Madison Ave,SKU-005,31,Black,7,2026-06-22
Madison Ave,SKU-005,31,White,0,2026-06-26
Madison Ave,SKU-005,31,Stone Wash,3,2026-06-25
Madison Ave,SKU-005,31,Raw Denim,4,2026-07-03
Madison Ave,SKU-005,31,Vintage Blue,0,2026-07-02
Madison Ave,SKU-005,32,Indigo,6,2026-06-26
Madison Ave,SKU-005,32,Black,5,2026-07-06
Madison Ave,SKU-005,32,White,0,2026-06-26
Madison Ave,SKU-005,32,Stone Wash,3,2026-06-30
Madison Ave,SKU-005,32,Raw Denim,4,2026-07-06
Madison Ave,SKU-005,32,Vintage Blue,0,2026-07-03
Madison Ave,SKU-005,33,Indigo,0,2026-07-01
Madison Ave,SKU-005,33,Black,0,2026-06-22
Madison Ave,SKU-005,33,White,0,2026-07-01
Madison Ave,SKU-005,33,Stone Wash,3,2026-06-27
Madison Ave,SKU-005,33,Raw Denim,4,2026-06-24
Madison Ave,SKU-005,33,Vintage Blue,7,2026-06-28
Madison Ave,SKU-005,34,Indigo,2,2026-06-30
Madison Ave,SKU-005,34,Black,1,2026-06-25
Madison Ave,SKU-005,34,White,5,2026-07-02
Madison Ave,SKU-005,34,Stone Wash,5,2026-06-23
Madison Ave,SKU-005,34,Raw Denim,2,2026-07-03
Madison Ave,SKU-005,34,Vintage Blue,5,2026-06-27
Madison Ave,SKU-006,24,Indigo,4,2026-06-27
Madison Ave,SKU-006,24,Black,4,2026-07-01
Madison Ave,SKU-006,24,White,3,2026-07-03
Madison Ave,SKU-006,24,Stone Wash,10,2026-06-28
Madison Ave,SKU-006,24,Raw Denim,2,2026-06-29
Madison Ave,SKU-006,24,Vintage Blue,6,2026-07-06
Madison Ave,SKU-006,25,Indigo,4,2026-06-29
Madison Ave,SKU-006,25,Black,4,2026-06-26
Madison Ave,SKU-006,25,White,6,2026-06-29
Madison Ave,SKU-006,25,Stone Wash,4,2026-06-28
Madison Ave,SKU-006,25,Raw Denim,2,2026-06-26
Madison Ave,SKU-006,25,Vintage Blue,1,2026-06-22
Madison Ave,SKU-006,26,Indigo,0,2026-07-01
Madison Ave,SKU-006,26,Black,7,2026-06-25
Madison Ave,SKU-006,26,White,2,2026-07-01
Madison Ave,SKU-006,26,Stone Wash,5,2026-07-02
Madison Ave,SKU-006,26,Raw Denim,2,2026-07-06
Madison Ave,SKU-006,26,Vintage Blue,8,2026-06-29
Madison Ave,SKU-006,27,Indigo,3,2026-06-25
Madison Ave,SKU-006,27,Black,0,2026-06-27
Madison Ave,SKU-006,27,White,2,2026-06-25
Madison Ave,SKU-006,27,Stone Wash,0,2026-06-28
Madison Ave,SKU-006,27,Raw Denim,6,2026-06-24
Madison Ave,SKU-006,27,Vintage Blue,0,2026-06-27
Madison Ave,SKU-006,28,Indigo,5,2026-06-25
Madison Ave,SKU-006,28,Black,2,2026-06-22
Madison Ave,SKU-006,28,White,2,2026-06-24
Madison Ave,SKU-006,28,Stone Wash,0,2026-07-05
Madison Ave,SKU-006,28,Raw Denim,3,2026-07-06
Madison Ave,SKU-006,28,Vintage Blue,2,2026-06-29
Madison Ave,SKU-006,29,Indigo,4,2026-07-06
Madison Ave,SKU-006,29,Black,0,2026-06-22
Madison Ave,SKU-006,29,White,2,2026-06-27
Madison Ave,SKU-006,29,Stone Wash,8,2026-07-02
Madison Ave,SKU-006,29,Raw Denim,0,2026-07-05
Madison Ave,SKU-006,29,Vintage Blue,3,2026-06-24
Madison Ave,SKU-006,30,Indigo,4,2026-06-25
Madison Ave,SKU-006,30,Black,6,2026-06-29
Madison Ave,SKU-006,30,White,1,2026-06-25
Madison Ave,SKU-006,30,Stone Wash,6,2026-07-06
Madison Ave,SKU-006,30,Raw Denim,5,2026-06-22
Madison Ave,SKU-006,30,Vintage Blue,1,2026-07-06
Madison Ave,SKU-006,31,Indigo,11,2026-06-28
Madison Ave,SKU-006,31,Black,0,2026-06-30
Madison Ave,SKU-006,31,White,2,2026-06-30
Madison Ave,SKU-006,31,Stone Wash,4,2026-07-02
Madison Ave,SKU-006,31,Raw Denim,5,2026-06-30
Madison Ave,SKU-006,31,Vintage Blue,2,2026-07-04
Madison Ave,SKU-006,32,Indigo,3,2026-06-29
Madison Ave,SKU-006,32,Black,0,2026-07-06
Madison Ave,SKU-006,32,White,2,2026-06-30
Madison Ave,SKU-006,32,Stone Wash,0,2026-06-29
Madison Ave,SKU-006,32,Raw Denim,8,2026-07-05
Madison Ave,SKU-006,32,Vintage Blue,6,2026-06-28
Madison Ave,SKU-006,33,Indigo,0,2026-07-03
Madison Ave,SKU-006,33,Black,4,2026-07-03
Madison Ave,SKU-006,33,White,5,2026-07-06
Madison Ave,SKU-006,33,Stone Wash,6,2026-06-25
Madison Ave,SKU-006,33,Raw Denim,2,2026-06-24
Madison Ave,SKU-006,33,Vintage Blue,5,2026-06-24
Madison Ave,SKU-006,34,Indigo,5,2026-07-02
Madison Ave,SKU-006,34,Black,3,2026-06-23
Madison Ave,SKU-006,34,White,1,2026-06-28
Madison Ave,SKU-006,34,Stone Wash,5,2026-06-27
Madison Ave,SKU-006,34,Raw Denim,9,2026-06-26
Madison Ave,SKU-006,34,Vintage Blue,3,2026-06-22
Madison Ave,SKU-007,24,Indigo,3,2026-06-26
Madison Ave,SKU-007,24,Black,8,2026-07-06
Madison Ave,SKU-007,24,White,3,2026-07-06
Madison Ave,SKU-007,24,Stone Wash,0,2026-07-02
Madison Ave,SKU-007,24,Raw Denim,4,2026-07-05
Madison Ave,SKU-007,24,Vintage Blue,1,2026-06-24
Madison Ave,SKU-007,25,Indigo,0,2026-06-22
Madison Ave,SKU-007,25,Black,4,2026-06-25
Madison Ave,SKU-007,25,White,0,2026-07-04
Madison Ave,SKU-007,25,Stone Wash,3,2026-07-02
Madison Ave,SKU-007,25,Raw Denim,0,2026-07-02
Madison Ave,SKU-007,25,Vintage Blue,5,2026-06-29
Madison Ave,SKU-007,26,Indigo,9,2026-07-05
Madison Ave,SKU-007,26,Black,4,2026-07-05
Madison Ave,SKU-007,26,White,7,2026-07-06
Madison Ave,SKU-007,26,Stone Wash,1,2026-07-05
Madison Ave,SKU-007,26,Raw Denim,0,2026-07-02
Madison Ave,SKU-007,26,Vintage Blue,3,2026-07-03
Madison Ave,SKU-007,27,Indigo,4,2026-07-02
Madison Ave,SKU-007,27,Black,4,2026-06-22
Madison Ave,SKU-007,27,White,1,2026-07-01
Madison Ave,SKU-007,27,Stone Wash,5,2026-07-05
Madison Ave,SKU-007,27,Raw Denim,1,2026-06-29
Madison Ave,SKU-007,27,Vintage Blue,3,2026-07-01
Madison Ave,SKU-007,28,Indigo,0,2026-06-29
Madison Ave,SKU-007,28,Black,0,2026-07-06
Madison Ave,SKU-007,28,White,5,2026-06-22
Madison Ave,SKU-007,28,Stone Wash,3,2026-06-24
Madison Ave,SKU-007,28,Raw Denim,1,2026-06-23
Madison Ave,SKU-007,28,Vintage Blue,3,2026-07-04
Madison Ave,SKU-007,29,Indigo,1,2026-06-26
Madison Ave,SKU-007,29,Black,5,2026-06-29
Madison Ave,SKU-007,29,White,1,2026-06-24
Madison Ave,SKU-007,29,Stone Wash,11,2026-06-24
Madison Ave,SKU-007,29,Raw Denim,2,2026-07-04
Madison Ave,SKU-007,29,Vintage Blue,1,2026-07-01
Madison Ave,SKU-007,30,Indigo,7,2026-07-04
Madison Ave,SKU-007,30,Black,5,2026-07-03
Madison Ave,SKU-007,30,White,7,2026-07-02
Madison Ave,SKU-007,30,Stone Wash,7,2026-07-05
Madison Ave,SKU-007,30,Raw Denim,2,2026-06-23
Madison Ave,SKU-007,30,Vintage Blue,2,2026-06-22
Madison Ave,SKU-007,31,Indigo,6,2026-07-06
Madison Ave,SKU-007,31,Black,1,2026-06-30
Madison Ave,SKU-007,31,White,4,2026-06-25
Madison Ave,SKU-007,31,Stone Wash,3,2026-06-30
Madison Ave,SKU-007,31,Raw Denim,2,2026-06-24
Madison Ave,SKU-007,31,Vintage Blue,1,2026-07-06
Madison Ave,SKU-007,32,Indigo,2,2026-07-05
Madison Ave,SKU-007,32,Black,4,2026-06-26
Madison Ave,SKU-007,32,White,2,2026-06-23
Madison Ave,SKU-007,32,Stone Wash,5,2026-06-30
Madison Ave,SKU-007,32,Raw Denim,4,2026-07-03
Madison Ave,SKU-007,32,Vintage Blue,0,2026-06-25
Madison Ave,SKU-007,33,Indigo,3,2026-06-28
Madison Ave,SKU-007,33,Black,0,2026-07-02
Madison Ave,SKU-007,33,White,2,2026-06-30
Madison Ave,SKU-007,33,Stone Wash,1,2026-07-05
Madison Ave,SKU-007,33,Raw Denim,5,2026-06-26
Madison Ave,SKU-007,33,Vintage Blue,5,2026-07-01
Madison Ave,SKU-007,34,Indigo,1,2026-06-25
Madison Ave,SKU-007,34,Black,0,2026-06-27
Madison Ave,SKU-007,34,White,1,2026-06-30
Madison Ave,SKU-007,34,Stone Wash,8,2026-06-24
Madison Ave,SKU-007,34,Raw Denim,2,2026-06-23
Madison Ave,SKU-007,34,Vintage Blue,0,2026-06-23
Madison Ave,SKU-008,24,Indigo,2,2026-06-24
Madison Ave,SKU-008,24,Black,5,2026-06-24
Madison Ave,SKU-008,24,White,6,2026-07-04
Madison Ave,SKU-008,24,Stone Wash,3,2026-06-30
Madison Ave,SKU-008,24,Raw Denim,0,2026-06-27
Madison Ave,SKU-008,24,Vintage Blue,2,2026-07-01
Madison Ave,SKU-008,25,Indigo,4,2026-06-23
Madison Ave,SKU-008,25,Black,4,2026-06-27
Madison Ave,SKU-008,25,White,0,2026-07-02
Madison Ave,SKU-008,25,Stone Wash,0,2026-07-06
Madison Ave,SKU-008,25,Raw Denim,4,2026-07-03
Madison Ave,SKU-008,25,Vintage Blue,5,2026-07-01
Madison Ave,SKU-008,26,Indigo,0,2026-06-23
