store_location,item_id,size,color,system_count,last_updated,pending_sellable_count,true_available,style_name,category
Madison Ave,SKU-002,30,Indigo,6,2026-06-22,0,6,Straight,jean
Madison Ave,SKU-002,30,Black,12,2026-06-26,0,12,Straight,jean
Madison Ave,SKU-002,30,White,0,2026-06-29,0,0,Straight,jean
Madison Ave,SKU-002,30,Stone Wash,0,2026-06-26,0,0,Straight,jean
Madison Ave,SKU-002,30,Raw Denim,1,2026-06-25,0,1,Straight,jean
Madison Ave,SKU-002,30,Vintage Blue,0,2026-06-30,0,0,Straight,jean
Madison Ave,SKU-002,31,Indigo,5,2026-06-28,0,5,Straight,jean
Madison Ave,SKU-002,31,Black,2,2026-06-25,0,2,Straight,jean
Madison Ave,SKU-002,31,White,7,2026-06-29,0,7,Straight,jean
Madison Ave,SKU-002,31,Stone Wash,0,2026-06-23,0,0,Straight,jean
Madison Ave,SKU-002,31,Raw Denim,4,2026-06-26,0,4,Straight,jean
Madison Ave,SKU-002,31,Vintage Blue,4,2026-07-01,0,4,Straight,jean
Madison Ave,SKU-002,32,Indigo,4,2026-06-25,0,4,Straight,jean
Madison Ave,SKU-002,32,Black,5,2026-07-06,0,5,Straight,jean
Madison Ave,SKU-002,32,White,9,2026-06-25,0,9,Straight,jean
Madison Ave,SKU-002,32,Stone Wash,4,2026-07-06,0,4,Straight,jean
Madison Ave,SKU-002,32,Raw Denim,5,2026-07-05,0,5,Straight,jean
Madison Ave,SKU-002,32,Vintage Blue,1,2026-07-06,0,1,Straight,jean
Madison Ave,SKU-002,33,Indigo,1,2026-06-24,0,1,Straight,jean
Madison Ave,SKU-002,33,Black,0,2026-06-27,0,0,Straight,jean
Madison Ave,SKU-002,33,White,2,2026-06-22,0,2,Straight,jean
Madison Ave,SKU-002,33,Stone Wash,0,2026-07-04,0,0,Straight,jean
Madison Ave,SKU-002,33,Raw Denim,2,2026-07-04,0,2,Straight,jean
Madison Ave,SKU-002,33,Vintage Blue,6,2026-07-01,0,6,Straight,jean
Madison Ave,SKU-002,34,Indigo,2,2026-07-02,0,2,Straight,jean
Madison Ave,SKU-002,34,Black,6,2026-06-22,1,7,Straight,jean
Madison Ave,SKU-002,34,White,8,2026-06-26,0,8,Straight,jean
Madison Ave,SKU-002,34,Stone Wash,5,2026-06-28,0,5,Straight,jean
Madison Ave,SKU-002,34,Raw Denim,1,2026-07-04,0,1,Straight,jean
Madison Ave,SKU-002,34,Vintage Blue,2,2026-06-29,0,2,Straight,jean
Madison Ave,SKU-003,24,Indigo,6,2026-06-25,0,6,Bootcut,jean
Madison Ave,SKU-003,24,Black,3,2026-06-24,0,3,Bootcut,jean
Madison Ave,SKU-003,24,White,2,2026-06-28,0,2,Bootcut,jean
Madison Ave,SKU-003,24,Stone Wash,1,2026-07-01,0,1,Bootcut,jean
Madison Ave,SKU-003,24,Raw Denim,2,2026-06-26,0,2,Bootcut,jean
Madison Ave,SKU-003,24,Vintage Blue,1,2026-07-05,0,1,Bootcut,jean
Madison Ave,SKU-003,25,Indigo,4,2026-06-22,0,4,Bootcut,jean
Madison Ave,SKU-003,25,Black,1,2026-06-28,0,1,Bootcut,jean
Madison Ave,SKU-003,25,White,0,2026-06-26,0,0,Bootcut,jean
Madison Ave,SKU-003,25,Stone Wash,0,2026-07-03,0,0,Bootcut,jean
Madison Ave,SKU-003,25,Raw Denim,7,2026-06-24,0,7,Bootcut,jean
Madison Ave,SKU-003,25,Vintage Blue,2,2026-06-23,0,2,Bootcut,jean
Madison Ave,SKU-003,26,Indigo,0,2026-06-28,0,0,Bootcut,jean
Madison Ave,SKU-003,26,Black,4,2026-07-06,0,4,Bootcut,jean
Madison Ave,SKU-003,26,White,0,2026-06-22,0,0,Bootcut,jean
Madison Ave,SKU-003,26,Stone Wash,4,2026-07-06,0,4,Bootcut,jean
Madison Ave,SKU-003,26,Raw Denim,2,2026-07-03,0,2,Bootcut,jean
Madison Ave,SKU-003,26,Vintage Blue,7,2026-07-01,0,7,Bootcut,jean
Madison Ave,SKU-003,27,Indigo,6,2026-06-26,0,6,Bootcut,jean
Madison Ave,SKU-003,27,Black,1,2026-07-03,0,1,Bootcut,jean
Madison Ave,SKU-003,27,White,7,2026-07-01,0,7,Bootcut,jean
Madison Ave,SKU-003,27,Stone Wash,5,2026-06-27,0,5,Bootcut,jean
Madison Ave,SKU-003,27,Raw Denim,4,2026-06-25,0,4,Bootcut,jean
Madison Ave,SKU-003,27,Vintage Blue,9,2026-06-30,0,9,Bootcut,jean
Madison Ave,SKU-003,28,Indigo,1,2026-06-26,0,1,Bootcut,jean
Madison Ave,SKU-003,28,Black,0,2026-07-05,0,0,Bootcut,jean
Madison Ave,SKU-003,28,White,1,2026-07-02,0,1,Bootcut,jean
Madison Ave,SKU-003,28,Stone Wash,1,2026-06-25,0,1,Bootcut,jean
Madison Ave,SKU-003,28,Raw Denim,2,2026-07-06,0,2,Bootcut,jean
Madison Ave,SKU-003,28,Vintage Blue,3,2026-06-23,0,3,Bootcut,jean
Madison Ave,SKU-003,29,Indigo,0,2026-06-26,0,0,Bootcut,jean
Madison Ave,SKU-003,29,Black,4,2026-07-06,0,4,Bootcut,jean
Madison Ave,SKU-003,29,White,0,2026-06-25,0,0,Bootcut,jean
Madison Ave,SKU-003,29,Stone Wash,3,2026-06-28,0,3,Bootcut,jean
Madison Ave,SKU-003,29,Raw Denim,0,2026-07-02,0,0,Bootcut,jean
Madison Ave,SKU-003,29,Vintage Blue,1,2026-06-27,0,1,Bootcut,jean
Madison Ave,SKU-003,30,Indigo,2,2026-06-27,0,2,Bootcut,jean
Madison Ave,SKU-003,30,Black,7,2026-06-24,0,7,Bootcut,jean
Madison Ave,SKU-003,30,White,5,2026-07-01,0,5,Bootcut,jean
Madison Ave,SKU-003,30,Stone Wash,2,2026-06-29,0,2,Bootcut,jean
Madison Ave,SKU-003,30,Raw Denim,1,2026-06-30,0,1,Bootcut,jean
Madison Ave,SKU-003,30,Vintage Blue,5,2026-07-04,0,5,Bootcut,jean
Madison Ave,SKU-003,31,Indigo,3,2026-06-22,0,3,Bootcut,jean
Madison Ave,SKU-003,31,Black,1,2026-07-06,0,1,Bootcut,jean
Madison Ave,SKU-003,31,White,6,2026-07-01,0,6,Bootcut,jean
Madison Ave,SKU-003,31,Stone Wash,0,2026-07-05,0,0,Bootcut,jean
Madison Ave,SKU-003,31,Raw Denim,0,2026-06-28,0,0,Bootcut,jean
Madison Ave,SKU-003,31,Vintage Blue,0,2026-07-02,0,0,Bootcut,jean
Madison Ave,SKU-003,32,Indigo,3,2026-07-04,0,3,Bootcut,jean
Madison Ave,SKU-003,32,Black,1,2026-07-04,0,1,Bootcut,jean
Madison Ave,SKU-003,32,White,6,2026-07-01,0,6,Bootcut,jean
Madison Ave,SKU-003,32,Stone Wash,1,2026-07-05,0,1,Bootcut,jean
Madison Ave,SKU-003,32,Raw Denim,5,2026-07-03,0,5,Bootcut,jean
Madison Ave,SKU-003,32,Vintage Blue,8,2026-06-25,0,8,Bootcut,jean
Madison Ave,SKU-003,33,Indigo,6,2026-07-05,0,6,Bootcut,jean
Madison Ave,SKU-003,33,Black,4,2026-07-01,0,4,Bootcut,jean
Madison Ave,SKU-003,33,White,2,2026-07-03,0,2,Bootcut,jean
Madison Ave,SKU-003,33,Stone Wash,7,2026-06-26,0,7,Bootcut,jean
Madison Ave,SKU-003,33,Raw Denim,2,2026-06-25,0,2,Bootcut,jean
Madison Ave,SKU-003,33,Vintage Blue,2,2026-06-25,0,2,Bootcut,jean
Madison Ave,SKU-003,34,Indigo,4,2026-06-27,0,4,Bootcut,jean
Madison Ave,SKU-003,34,Black,2,2026-06-30,0,2,Bootcut,jean
Madison Ave,SKU-003,34,White,0,2026-06-26,0,0,Bootcut,jean
Madison Ave,SKU-003,34,Stone Wash,3,2026-07-03,0,3,Bootcut,jean
Madison Ave,SKU-003,34,Raw Denim,8,2026-06-30,0,8,Bootcut,jean
Madison Ave,SKU-003,34,Vintage Blue,2,2026-07-03,0,2,Bootcut,jean
Madison Ave,SKU-004,24,Indigo,1,2026-06-27,0,1,Wide Leg,jean
Madison Ave,SKU-004,24,Black,5,2026-07-06,0,5,Wide Leg,jean
Madison Ave,SKU-004,24,White,6,2026-07-06,0,6,Wide Leg,jean
Madison Ave,SKU-004,24,Stone Wash,2,2026-07-02,0,2,Wide Leg,jean
Madison Ave,SKU-004,24,Raw Denim,5,2026-06-22,0,5,Wide Leg,jean
Madison Ave,SKU-004,24,Vintage Blue,4,2026-06-22,0,4,Wide Leg,jean
Madison Ave,SKU-004,25,Indigo,4,2026-07-02,0,4,Wide Leg,jean
Madison Ave,SKU-004,25,Black,2,2026-07-04,0,2,Wide Leg,jean
Madison Ave,SKU-004,25,White,0,2026-06-23,0,0,Wide Leg,jean
Madison Ave,SKU-004,25,Stone Wash,5,2026-06-28,0,5,Wide Leg,jean
Madison Ave,SKU-004,25,Raw Denim,4,2026-07-06,0,4,Wide Leg,jean
Madison Ave,SKU-004,25,Vintage Blue,0,2026-06-25,0,0,Wide Leg,jean
Madison Ave,SKU-004,26,Indigo,5,2026-06-26,0,5,Wide Leg,jean
Madison Ave,SKU-004,26,Black,10,2026-07-04,0,10,Wide Leg,jean
Madison Ave,SKU-004,26,White,4,2026-07-05,0,4,Wide Leg,jean
Madison Ave,SKU-004,26,Stone Wash,8,2026-07-04,0,8,Wide Leg,jean
Madison Ave,SKU-004,26,Raw Denim,0,2026-06-22,0,0,Wide Leg,jean
Madison Ave,SKU-004,26,Vintage Blue,3,2026-06-24,0,3,Wide Leg,jean
Madison Ave,SKU-004,27,Indigo,7,2026-06-26,0,7,Wide Leg,jean
Madison Ave,SKU-004,27,Black,0,2026-06-25,0,0,Wide Leg,jean
Madison Ave,SKU-004,27,White,1,2026-06-23,0,1,Wide Leg,jean
Madison Ave,SKU-004,27,Stone Wash,2,2026-07-02,0,2,Wide Leg,jean
Madison Ave,SKU-004,27,Raw Denim,1,2026-06-23,0,1,Wide Leg,jean
Madison Ave,SKU-004,27,Vintage Blue,0,2026-06-25,0,0,Wide Leg,jean
Madison Ave,SKU-004,28,Indigo,2,2026-06-23,0,2,Wide Leg,jean
Madison Ave,SKU-004,28,Black,4,2026-07-05,0,4,Wide Leg,jean
Madison Ave,SKU-004,28,White,5,2026-06-25,0,5,Wide Leg,jean
Madison Ave,SKU-004,28,Stone Wash,4,2026-07-01,0,4,Wide Leg,jean
Madison Ave,SKU-004,28,Raw Denim,6,2026-06-24,0,6,Wide Leg,jean
Madison Ave,SKU-004,28,Vintage Blue,2,2026-06-23,0,2,Wide Leg,jean
Madison Ave,SKU-004,29,Indigo,0,2026-07-05,0,0,Wide Leg,jean
Madison Ave,SKU-004,29,Black,3,2026-07-05,0,3,Wide Leg,jean
Madison Ave,SKU-004,29,White,1,2026-07-03,0,1,Wide Leg,jean
Madison Ave,SKU-004,29,Stone Wash,8,2026-07-03,0,8,Wide Leg,jean
Madison Ave,SKU-004,29,Raw Denim,4,2026-07-06,0,4,Wide Leg,jean
Madison Ave,SKU-004,29,Vintage Blue,3,2026-06-28,0,3,Wide Leg,jean
Madison Ave,SKU-004,30,Indigo,1,2026-07-03,0,1,Wide Leg,jean
Madison Ave,SKU-004,30,Black,3,2026-07-06,0,3,Wide Leg,jean
Madison Ave,SKU-004,30,White,5,2026-07-01,0,5,Wide Leg,jean
Madison Ave,SKU-004,30,Stone Wash,0,2026-06-24,0,0,Wide Leg,jean
Madison Ave,SKU-004,30,Raw Denim,9,2026-06-26,0,9,Wide Leg,jean
Madison Ave,SKU-004,30,Vintage Blue,2,2026-06-23,0,2,Wide Leg,jean
Madison Ave,SKU-004,31,Indigo,5,2026-06-22,0,5,Wide Leg,jean
Madison Ave,SKU-004,31,Black,3,2026-06-28,0,3,Wide Leg,jean
Madison Ave,SKU-004,31,White,7,2026-07-03,0,7,Wide Leg,jean
Madison Ave,SKU-004,31,Stone Wash,6,2026-06-25,0,6,Wide Leg,jean
Madison Ave,SKU-004,31,Raw Denim,0,2026-07-01,0,0,Wide Leg,jean
Madison Ave,SKU-004,31,Vintage Blue,5,2026-06-25,0,5,Wide Leg,jean
Madison Ave,SKU-004,32,Indigo,4,2026-07-06,0,4,Wide Leg,jean
Madison Ave,SKU-004,32,Black,3,2026-07-04,0,3,Wide Leg,jean
Madison Ave,SKU-004,32,White,5,2026-07-05,0,5,Wide Leg,jean
Madison Ave,SKU-004,32,Stone Wash,4,2026-06-25,0,4,Wide Leg,jean
Madison Ave,SKU-004,32,Raw Denim,3,2026-06-29,0,3,Wide Leg,jean
Madison Ave,SKU-004,32,Vintage Blue,7,2026-07-06,0,7,Wide Leg,jean
Madison Ave,SKU-004,33,Indigo,5,2026-06-30,0,5,Wide Leg,jean
Madison Ave,SKU-004,33,Black,5,2026-07-05,0,5,Wide Leg,jean
Madison Ave,SKU-004,33,White,0,2026-06-28,0,0,Wide Leg,jean
Madison Ave,SKU-004,33,Stone Wash,5,2026-06-29,0,5,Wide Leg,jean
Madison Ave,SKU-004,33,Raw Denim,0,2026-07-04,0,0,Wide Leg,jean
Madison Ave,SKU-004,33,Vintage Blue,0,2026-06-24,0,0,Wide Leg,jean
Madison Ave,SKU-004,34,Indigo,7,2026-06-27,0,7,Wide Leg,jean
Madison Ave,SKU-004,34,Black,5,2026-06-29,0,5,Wide Leg,jean
Madison Ave,SKU-004,34,White,7,2026-07-03,0,7,Wide Leg,jean
Madison Ave,SKU-004,34,Stone Wash,0,2026-06-26,0,0,Wide Leg,jean
Madison Ave,SKU-004,34,Raw Denim,3,2026-07-03,0,3,Wide Leg,jean
Madison Ave,SKU-004,34,Vintage Blue,3,2026-06-26,0,3,Wide Leg,jean
Madison Ave,SKU-005,24,Indigo,2,2026-07-03,0,2,Slim Straight,jean
Madison Ave,SKU-005,24,Black,6,2026-06-25,0,6,Slim Straight,jean
Madison Ave,SKU-005,24,White,4,2026-07-05,0,4,Slim Straight,jean
Madison Ave,SKU-005,24,Stone Wash,5,2026-07-06,0,5,Slim Straight,jean
Madison Ave,SKU-005,24,Raw Denim,2,2026-07-06,0,2,Slim Straight,jean
Madison Ave,SKU-005,24,Vintage Blue,4,2026-06-24,0,4,Slim Straight,jean
Madison Ave,SKU-005,25,Indigo,9,2026-07-06,0,9,Slim Straight,jean
Madison Ave,SKU-005,25,Black,4,2026-07-05,0,4,Slim Straight,jean
Madison Ave,SKU-005,25,White,5,2026-07-03,0,5,Slim Straight,jean
Madison Ave,SKU-005,25,Stone Wash,3,2026-07-05,0,3,Slim Straight,jean
Madison Ave,SKU-005,25,Raw Denim,3,2026-06-25,0,3,Slim Straight,jean
Madison Ave,SKU-005,25,Vintage Blue,6,2026-06-29,0,6,Slim Straight,jean
Madison Ave,SKU-005,26,Indigo,2,2026-06-25,0,2,Slim Straight,jean
Madison Ave,SKU-005,26,Black,2,2026-06-29,0,2,Slim Straight,jean
Madison Ave,SKU-005,26,White,4,2026-06-26,0,4,Slim Straight,jean
Madison Ave,SKU-005,26,Stone Wash,0,2026-06-26,0,0,Slim Straight,jean
Madison Ave,SKU-005,26,Raw Denim,5,2026-07-01,0,5,Slim Straight,jean
Madison Ave,SKU-005,26,Vintage Blue,5,2026-06-30,0,5,Slim Straight,jean
Madison Ave,SKU-005,27,Indigo,3,2026-06-29,0,3,Slim Straight,jean
Madison Ave,SKU-005,27,Black,0,2026-07-04,0,0,Slim Straight,jean
Madison Ave,SKU-005,27,White,1,2026-06-24,0,1,Slim Straight,jean
Madison Ave,SKU-005,27,Stone Wash,0,2026-06-24,0,0,Slim Straight,jean
Madison Ave,SKU-005,27,Raw Denim,6,2026-06-24,0,6,Slim Straight,jean
Madison Ave,SKU-005,27,Vintage Blue,5,2026-06-27,0,5,Slim Straight,jean
Madison Ave,SKU-005,28,Indigo,6,2026-06-27,0,6,Slim Straight,jean
Madison Ave,SKU-005,28,Black,1,2026-06-28,0,1,Slim Straight,jean
Madison Ave,SKU-005,28,White,0,2026-06-23,0,0,Slim Straight,jean
Madison Ave,SKU-005,28,Stone Wash,3,2026-06-23,0,3,Slim Straight,jean
Madison Ave,SKU-005,28,Raw Denim,0,2026-06-25,0,0,Slim Straight,jean
Madison Ave,SKU-005,28,Vintage Blue,4,2026-06-29,0,4,Slim Straight,jean
Madison Ave,SKU-005,29,Indigo,8,2026-07-03,0,8,Slim Straight,jean
Madison Ave,SKU-005,29,Black,0,2026-06-28,0,0,Slim Straight,jean
Madison Ave,SKU-005,29,White,0,2026-07-04,0,0,Slim Straight,jean
Madison Ave,SKU-005,29,Stone Wash,4,2026-06-24,0,4,Slim Straight,jean
Madison Ave,SKU-005,29,Raw Denim,4,2026-06-28,0,4,Slim Straight,jean
Madison Ave,SKU-005,29,Vintage Blue,7,2026-06-27,0,7,Slim Straight,jean
Madison Ave,SKU-005,30,Indigo,4,2026-06-26,0,4,Slim Straight,jean
Madison Ave,SKU-005,30,Black,6,2026-06-24,0,6,Slim Straight,jean
Madison Ave,SKU-005,30,White,4,2026-06-29,0,4,Slim Straight,jean
Madison Ave,SKU-005,30,Stone Wash,5,2026-07-03,0,5,Slim Straight,jean
Madison Ave,SKU-005,30,Raw Denim,6,2026-06-27,0,6,Slim Straight,jean
Madison Ave,SKU-005,30,Vintage Blue,4,2026-07-02,0,4,Slim Straight,jean
Madison Ave,SKU-005,31,Indigo,1,2026-06-30,0,1,Slim Straight,jean
Madison Ave,SKU-005,31,Black,7,2026-06-22,0,7,Slim Straight,jean
Madison Ave,SKU-005,31,White,0,2026-06-26,0,0,Slim Straight,jean
Madison Ave,SKU-005,31,Stone Wash,3,2026-06-25,0,3,Slim Straight,jean
Madison Ave,SKU-005,31,Raw Denim,4,2026-07-03,1,5,Slim Straight,jean
Madison Ave,SKU-005,31,Vintage Blue,0,2026-07-02,0,0,Slim Straight,jean
Madison Ave,SKU-005,32,Indigo,6,2026-06-26,0,6,Slim Straight,jean
Madison Ave,SKU-005,32,Black,5,2026-07-06,0,5,Slim Straight,jean
Madison Ave,SKU-005,32,White,0,2026-06-26,0,0,Slim Straight,jean
Madison Ave,SKU-005,32,Stone Wash,3,2026-06-30,0,3,Slim Straight,jean
Madison Ave,SKU-005,32,Raw Denim,4,2026-07-06,0,4,Slim Straight,jean
Madison Ave,SKU-005,32,Vintage Blue,0,2026-07-03,0,0,Slim Straight,jean
Madison Ave,SKU-005,33,Indigo,0,2026-07-01,0,0,Slim Straight,jean
Madison Ave,SKU-005,33,Black,0,2026-06-22,0,0,Slim Straight,jean
Madison Ave,SKU-005,33,White,0,2026-07-01,0,0,Slim Straight,jean
Madison Ave,SKU-005,33,Stone Wash,3,2026-06-27,0,3,Slim Straight,jean
Madison Ave,SKU-005,33,Raw Denim,4,2026-06-24,0,4,Slim Straight,jean
Madison Ave,SKU-005,33,Vintage Blue,7,2026-06-28,0,7,Slim Straight,jean
Madison Ave,SKU-005,34,Indigo,2,2026-06-30,0,2,Slim Straight,jean
Madison Ave,SKU-005,34,Black,1,2026-06-25,0,1,Slim Straight,jean
Madison Ave,SKU-005,34,White,5,2026-07-02,0,5,Slim Straight,jean
Madison Ave,SKU-005,34,Stone Wash,5,2026-06-23,0,5,Slim Straight,jean
Madison Ave,SKU-005,34,Raw Denim,2,2026-07-03,0,2,Slim Straight,jean
Madison Ave,SKU-005,34,Vintage Blue,5,2026-06-27,0,5,Slim Straight,jean
